input_dict,ground_truth,natural question,natural answer
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: robotics","loss function
machine learning resources
random walks and harmonic functions
Unsupervised learning
reinforcement learning
robotics","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of robotics, what concept path should I follow?",loss function;machine learning resources;random walks and harmonic functions;Unsupervised learning;reinforcement learning;robotics
"domain_1: Natural Language Processing
concept_1: structured learning
concept_2: kernels","structured learning
word distributions
vector representations
kernels","In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of kernels, what concept path should I follow?",structured learning;word distributions;vector representations;kernels
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: multilingual word embedding","natural language processing intro
vector representations
structured learning
word distributions
word embedding
word embedding variations
multilingual word embedding","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of multilingual word embedding, what concept path should I follow?",natural language processing intro;vector representations;structured learning;word distributions;word embedding;word embedding variations;multilingual word embedding
"domain_1: Natural Language Processing
concept_1: logic and logical agents
concept_2: agent-based view of ai","logic and logical agents
agent-based view of ai","In the domain of Natural Language Processing, I know about the concept of logic and logical agents, now I want to learn about the concept of agent-based view of ai, what concept path should I follow?",logic and logical agents;agent-based view of ai
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: linear discriminant analysis","machine learning resources
linear discriminant analysis","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of linear discriminant analysis, what concept path should I follow?",machine learning resources;linear discriminant analysis
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: log-linear models","machine learning resources
log-linear models","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of log-linear models, what concept path should I follow?",machine learning resources;log-linear models
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: bayes theorem","probabilities
bayes theorem","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of bayes theorem, what concept path should I follow?",probabilities;bayes theorem
"domain_1: Natural Language Processing
concept_1: backpropagation
concept_2: neural parsing","backpropagation
neural networks
neural parsing","In the domain of Natural Language Processing, I know about the concept of backpropagation, now I want to learn about the concept of neural parsing, what concept path should I follow?",backpropagation;neural networks;neural parsing
"domain_1: Natural Language Processing
concept_1: syntax
concept_2: syntax based machine translation","syntax
syntax based machine translation","In the domain of Natural Language Processing, I know about the concept of syntax, now I want to learn about the concept of syntax based machine translation, what concept path should I follow?",syntax;syntax based machine translation
"domain_1: Natural Language Processing
concept_1: n-gram models
concept_2: evaluation of text classification","n-gram models
word distributions
vector representations
evaluation of text classification","In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of evaluation of text classification, what concept path should I follow?",n-gram models;word distributions;vector representations;evaluation of text classification
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: Variations of GANs","machine learning resources
loss function
Variations of GANs","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of Variations of GANs, what concept path should I follow?",machine learning resources;loss function;Variations of GANs
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: robotic locomotion","optimization
machine learning resources
random walks and harmonic functions
Unsupervised learning
reinforcement learning
robotics
robotic locomotion","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of robotic locomotion, what concept path should I follow?",optimization;machine learning resources;random walks and harmonic functions;Unsupervised learning;reinforcement learning;robotics;robotic locomotion
"domain_1: Natural Language Processing
concept_1: word distributions
concept_2: structured learning","word distributions
vector representations
structured learning","In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of structured learning, what concept path should I follow?",word distributions;vector representations;structured learning
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: linear regression","machine learning resources
linear regression","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of linear regression, what concept path should I follow?",machine learning resources;linear regression
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: topic modeling","natural language processing intro
vector representations
structured learning
word distributions
topic modeling","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of topic modeling, what concept path should I follow?",natural language processing intro;vector representations;structured learning;word distributions;topic modeling
"domain_1: Natural Language Processing
concept_1: vector representations
concept_2: bag of words model","vector representations
bag of words model","In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of bag of words model, what concept path should I follow?",vector representations;bag of words model
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: recursive neural networks","machine learning resources
semi-supervised learning
neural networks
training neural networks
recursive neural networks","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of recursive neural networks, what concept path should I follow?",machine learning resources;semi-supervised learning;neural networks;training neural networks;recursive neural networks
"domain_1: Natural Language Processing
concept_1: Unsupervised learning
concept_2: Autoencoders","Unsupervised learning
neural networks
Autoencoders","In the domain of Natural Language Processing, I know about the concept of Unsupervised learning, now I want to learn about the concept of Autoencoders, what concept path should I follow?",Unsupervised learning;neural networks;Autoencoders
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: word embedding","loss function
machine learning resources
word embedding","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of word embedding, what concept path should I follow?",loss function;machine learning resources;word embedding
"domain_1: Natural Language Processing
concept_1: text similarity
concept_2: social network extraction","text similarity
information extraction
social network extraction","In the domain of Natural Language Processing, I know about the concept of text similarity, now I want to learn about the concept of social network extraction, what concept path should I follow?",text similarity;information extraction;social network extraction
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: neural language modeling","machine learning resources
semi-supervised learning
neural networks
neural language modeling","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of neural language modeling, what concept path should I follow?",machine learning resources;semi-supervised learning;neural networks;neural language modeling
"domain_1: Natural Language Processing
concept_1: vector semantics
concept_2: automated essay scoring","vector semantics
semantic similarity
automated essay scoring","In the domain of Natural Language Processing, I know about the concept of vector semantics, now I want to learn about the concept of automated essay scoring, what concept path should I follow?",vector semantics;semantic similarity;automated essay scoring
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: statistical parsing","natural language processing intro
parsing
statistical parsing","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of statistical parsing, what concept path should I follow?",natural language processing intro;parsing;statistical parsing
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: document representation","linguistics basics
document representation","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of document representation, what concept path should I follow?",linguistics basics;document representation
"domain_1: Natural Language Processing
concept_1: machine translation
concept_2: neural machine translation","machine translation
machine translation techniques
neural machine translation","In the domain of Natural Language Processing, I know about the concept of machine translation, now I want to learn about the concept of neural machine translation, what concept path should I follow?",machine translation;machine translation techniques;neural machine translation
"domain_1: Natural Language Processing
concept_1: monte carlo methods
concept_2: latent dirichlet allocation","monte carlo methods
latent dirichlet allocation","In the domain of Natural Language Processing, I know about the concept of monte carlo methods, now I want to learn about the concept of latent dirichlet allocation, what concept path should I follow?",monte carlo methods;latent dirichlet allocation
"domain_1: Natural Language Processing
concept_1: word distributions
concept_2: semantic similarity","word distributions
vector representations
structured learning
vector semantics
semantic similarity","In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of semantic similarity, what concept path should I follow?",word distributions;vector representations;structured learning;vector semantics;semantic similarity
"domain_1: Natural Language Processing
concept_1: information retrieval
concept_2: citation networks","information retrieval
toolkits for information retrieval
information extraction
social network extraction
citation networks","In the domain of Natural Language Processing, I know about the concept of information retrieval, now I want to learn about the concept of citation networks, what concept path should I follow?",information retrieval;toolkits for information retrieval;information extraction;social network extraction;citation networks
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: stack lstm","optimization
machine learning resources
semi-supervised learning
neural networks
training neural networks
stack lstm","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of stack lstm, what concept path should I follow?",optimization;machine learning resources;semi-supervised learning;neural networks;training neural networks;stack lstm
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: word embedding","machine learning resources
word embedding","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of word embedding, what concept path should I follow?",machine learning resources;word embedding
"domain_1: Natural Language Processing
concept_1: Sampling
concept_2: gibbs sampling","Sampling
gibbs sampling","In the domain of Natural Language Processing, I know about the concept of Sampling, now I want to learn about the concept of gibbs sampling, what concept path should I follow?",Sampling;gibbs sampling
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: sentence boundary recognition","optimization
machine learning resources
loss function
classification
sentence boundary recognition","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of sentence boundary recognition, what concept path should I follow?",optimization;machine learning resources;loss function;classification;sentence boundary recognition
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: Meta-Learning","probabilities
Meta-Learning","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of Meta-Learning, what concept path should I follow?",probabilities;Meta-Learning
"domain_1: Natural Language Processing
concept_1: semantic similarity
concept_2: sentence simplification","semantic similarity
sentence simplification","In the domain of Natural Language Processing, I know about the concept of semantic similarity, now I want to learn about the concept of sentence simplification, what concept path should I follow?",semantic similarity;sentence simplification
"domain_1: Natural Language Processing
concept_1: sentence representations
concept_2: automated essay scoring","sentence representations
automated essay scoring","In the domain of Natural Language Processing, I know about the concept of sentence representations, now I want to learn about the concept of automated essay scoring, what concept path should I follow?",sentence representations;automated essay scoring
"domain_1: Natural Language Processing
concept_1: toolkits for information retrieval
concept_2: text mining","toolkits for information retrieval
text mining","In the domain of Natural Language Processing, I know about the concept of toolkits for information retrieval, now I want to learn about the concept of text mining, what concept path should I follow?",toolkits for information retrieval;text mining
"domain_1: Natural Language Processing
concept_1: vector representations
concept_2: scientific article summarization","vector representations
structured learning
sentence representations
text summarization
neural summarization
scientific article summarization","In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",vector representations;structured learning;sentence representations;text summarization;neural summarization;scientific article summarization
"domain_1: Natural Language Processing
concept_1: information retrieval
concept_2: search engines","information retrieval
search engines","In the domain of Natural Language Processing, I know about the concept of information retrieval, now I want to learn about the concept of search engines, what concept path should I follow?",information retrieval;search engines
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: training neural networks","machine learning resources
semi-supervised learning
neural networks
training neural networks","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of training neural networks, what concept path should I follow?",machine learning resources;semi-supervised learning;neural networks;training neural networks
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: evaluation of dependency parsing","natural language processing intro
parsing
dependency parsing
evaluation of dependency parsing","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of evaluation of dependency parsing, what concept path should I follow?",natural language processing intro;parsing;dependency parsing;evaluation of dependency parsing
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: latent variable models","probabilities
latent variable models","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of latent variable models, what concept path should I follow?",probabilities;latent variable models
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: relation extraction","probabilities
structured learning
vector semantics
semantic similarity
relation extraction","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of relation extraction, what concept path should I follow?",probabilities;structured learning;vector semantics;semantic similarity;relation extraction
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: sentence boundary recognition","linguistics basics
sentence boundary recognition","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of sentence boundary recognition, what concept path should I follow?",linguistics basics;sentence boundary recognition
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: topic modeling","probabilities
structured learning
word distributions
topic modeling","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of topic modeling, what concept path should I follow?",probabilities;structured learning;word distributions;topic modeling
"domain_1: Natural Language Processing
concept_1: parsing
concept_2: first-order logic","parsing
semi supervised learning
first-order logic","In the domain of Natural Language Processing, I know about the concept of parsing, now I want to learn about the concept of first-order logic, what concept path should I follow?",parsing;semi supervised learning;first-order logic
"domain_1: Natural Language Processing
concept_1: n-gram models
concept_2: recommendation system","n-gram models
word distributions
vector representations
structured learning
vector semantics
recommendation system","In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of recommendation system, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;vector semantics;recommendation system
"domain_1: Natural Language Processing
concept_1: latent variable models
concept_2: linear discriminant analysis","latent variable models
linear discriminant analysis","In the domain of Natural Language Processing, I know about the concept of latent variable models, now I want to learn about the concept of linear discriminant analysis, what concept path should I follow?",latent variable models;linear discriminant analysis
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: speech processing","probabilities
speech processing","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of speech processing, what concept path should I follow?",probabilities;speech processing
"domain_1: Natural Language Processing
concept_1: vector representations
concept_2: word embedding variations","vector representations
structured learning
word distributions
word embedding
word embedding variations","In the domain of Natural Language Processing, I know about the concept of vector representations, now I want to learn about the concept of word embedding variations, what concept path should I follow?",vector representations;structured learning;word distributions;word embedding;word embedding variations
"domain_1: Natural Language Processing
concept_1: text similarity
concept_2: citation networks","text similarity
information extraction
social network extraction
citation networks","In the domain of Natural Language Processing, I know about the concept of text similarity, now I want to learn about the concept of citation networks, what concept path should I follow?",text similarity;information extraction;social network extraction;citation networks
"domain_1: Natural Language Processing
concept_1: word distributions
concept_2: nlp for biology","word distributions
vector representations
structured learning
vector semantics
bio text mining
nlp for biology","In the domain of Natural Language Processing, I know about the concept of word distributions, now I want to learn about the concept of nlp for biology, what concept path should I follow?",word distributions;vector representations;structured learning;vector semantics;bio text mining;nlp for biology
"domain_1: Natural Language Processing
concept_1: parsing
concept_2: first-order logic","parsing
semi supervised learning
first-order logic","In the domain of Natural Language Processing, I know about the concept of parsing, now I want to learn about the concept of first-order logic, what concept path should I follow?",parsing;semi supervised learning;first-order logic
"domain_1: Natural Language Processing
concept_1: seq2seq
concept_2: neural summarization","seq2seq
neural summarization","In the domain of Natural Language Processing, I know about the concept of seq2seq, now I want to learn about the concept of neural summarization, what concept path should I follow?",seq2seq;neural summarization
"domain_1: Natural Language Processing
concept_1: n-gram models
concept_2: information extraction","n-gram models
word distributions
vector representations
structured learning
sentence representations
information extraction","In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of information extraction, what concept path should I follow?",n-gram models;word distributions;vector representations;structured learning;sentence representations;information extraction
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: text to speech generation","linguistics basics
speech processing
text to speech generation","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of text to speech generation, what concept path should I follow?",linguistics basics;speech processing;text to speech generation
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: neural networks","optimization
machine learning resources
semi-supervised learning
neural networks","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of neural networks, what concept path should I follow?",optimization;machine learning resources;semi-supervised learning;neural networks
"domain_1: Natural Language Processing
concept_1: multilingual machine translation
concept_2: universal cross-language representation","multilingual machine translation
universal cross-language representation","In the domain of Natural Language Processing, I know about the concept of multilingual machine translation, now I want to learn about the concept of universal cross-language representation, what concept path should I follow?",multilingual machine translation;universal cross-language representation
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: syntaxnet","loss function
machine learning resources
semi-supervised learning
neural networks
syntaxnet","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of syntaxnet, what concept path should I follow?",loss function;machine learning resources;semi-supervised learning;neural networks;syntaxnet
"domain_1: Natural Language Processing
concept_1: vector semantics
concept_2: kernels","vector semantics
kernels","In the domain of Natural Language Processing, I know about the concept of vector semantics, now I want to learn about the concept of kernels, what concept path should I follow?",vector semantics;kernels
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: computational phonology","linguistics basics
computational phonology","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of computational phonology, what concept path should I follow?",linguistics basics;computational phonology
"domain_1: Natural Language Processing
concept_1: structured learning
concept_2: social network extraction","structured learning
sentence representations
information extraction
social network extraction","In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of social network extraction, what concept path should I follow?",structured learning;sentence representations;information extraction;social network extraction
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: named entity recognition","natural language processing intro
named entity recognition","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of named entity recognition, what concept path should I follow?",natural language processing intro;named entity recognition
"domain_1: Natural Language Processing
concept_1: structured learning
concept_2: scientific article summarization","structured learning
sentence representations
text summarization
neural summarization
scientific article summarization","In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of scientific article summarization, what concept path should I follow?",structured learning;sentence representations;text summarization;neural summarization;scientific article summarization
"domain_1: Natural Language Processing
concept_1: extractive summarization
concept_2: Multi-News dataset creation","extractive summarization
Multi-News dataset creation","In the domain of Natural Language Processing, I know about the concept of extractive summarization, now I want to learn about the concept of Multi-News dataset creation, what concept path should I follow?",extractive summarization;Multi-News dataset creation
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: semi-supervised learning","optimization
machine learning resources
semi-supervised learning","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of semi-supervised learning, what concept path should I follow?",optimization;machine learning resources;semi-supervised learning
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: transition based dependency parsing","natural language processing intro
parsing
dependency parsing
transition based dependency parsing","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of transition based dependency parsing, what concept path should I follow?",natural language processing intro;parsing;dependency parsing;transition based dependency parsing
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: social media analysis","loss function
classification
sentiment analysis
social media analysis","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of social media analysis, what concept path should I follow?",loss function;classification;sentiment analysis;social media analysis
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: neural parsing","optimization
machine learning resources
semi-supervised learning
neural networks
neural parsing","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of neural parsing, what concept path should I follow?",optimization;machine learning resources;semi-supervised learning;neural networks;neural parsing
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: loss function","optimization
machine learning resources
loss function","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of loss function, what concept path should I follow?",optimization;machine learning resources;loss function
"domain_1: Natural Language Processing
concept_1: structured learning
concept_2: character level language models","structured learning
word distributions
character level language models","In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of character level language models, what concept path should I follow?",structured learning;word distributions;character level language models
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: recommendation system","linguistics basics
recommendation system","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of recommendation system, what concept path should I follow?",linguistics basics;recommendation system
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: kernel function","machine learning resources
kernel function","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of kernel function, what concept path should I follow?",machine learning resources;kernel function
"domain_1: Natural Language Processing
concept_1: word embedding
concept_2: multilingual word embedding","word embedding
word embedding variations
multilingual word embedding","In the domain of Natural Language Processing, I know about the concept of word embedding, now I want to learn about the concept of multilingual word embedding, what concept path should I follow?",word embedding;word embedding variations;multilingual word embedding
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: latent dirichlet allocation","probabilities
monte carlo methods
latent dirichlet allocation","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of latent dirichlet allocation, what concept path should I follow?",probabilities;monte carlo methods;latent dirichlet allocation
"domain_1: Natural Language Processing
concept_1: parsing
concept_2: event detection","parsing
event detection","In the domain of Natural Language Processing, I know about the concept of parsing, now I want to learn about the concept of event detection, what concept path should I follow?",parsing;event detection
"domain_1: Natural Language Processing
concept_1: backpropagation
concept_2: stack lstm","backpropagation
neural networks
training neural networks
stack lstm","In the domain of Natural Language Processing, I know about the concept of backpropagation, now I want to learn about the concept of stack lstm, what concept path should I follow?",backpropagation;neural networks;training neural networks;stack lstm
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: speech synthesis","loss function
speech processing
speech synthesis","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of speech synthesis, what concept path should I follow?",loss function;speech processing;speech synthesis
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: query expansion","linguistics basics
morphology and lexicon
query expansion","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of query expansion, what concept path should I follow?",linguistics basics;morphology and lexicon;query expansion
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: vector semantics","probabilities
structured learning
vector semantics","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of vector semantics, what concept path should I follow?",probabilities;structured learning;vector semantics
"domain_1: Natural Language Processing
concept_1: neural networks
concept_2: recursive neural networks","neural networks
training neural networks
recursive neural networks","In the domain of Natural Language Processing, I know about the concept of neural networks, now I want to learn about the concept of recursive neural networks, what concept path should I follow?",neural networks;training neural networks;recursive neural networks
"domain_1: Natural Language Processing
concept_1: deep learning introduction
concept_2: word embedding variations","deep learning introduction
word embedding
word embedding variations","In the domain of Natural Language Processing, I know about the concept of deep learning introduction, now I want to learn about the concept of word embedding variations, what concept path should I follow?",deep learning introduction;word embedding;word embedding variations
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: thesaurus-based similarity","natural language processing intro
vector representations
structured learning
vector semantics
semantic similarity
thesaurus-based similarity","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of thesaurus-based similarity, what concept path should I follow?",natural language processing intro;vector representations;structured learning;vector semantics;semantic similarity;thesaurus-based similarity
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: linear discriminant analysis","natural language processing intro
vector representations
structured learning
linear discriminant analysis","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of linear discriminant analysis, what concept path should I follow?",natural language processing intro;vector representations;structured learning;linear discriminant analysis
"domain_1: Natural Language Processing
concept_1: structured learning
concept_2: word distributions","structured learning
word distributions","In the domain of Natural Language Processing, I know about the concept of structured learning, now I want to learn about the concept of word distributions, what concept path should I follow?",structured learning;word distributions
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: social media analysis","machine learning resources
random walks and harmonic functions
sentiment analysis
social media analysis","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of social media analysis, what concept path should I follow?",machine learning resources;random walks and harmonic functions;sentiment analysis;social media analysis
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: text to speech generation","linguistics basics
speech processing
text to speech generation","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of text to speech generation, what concept path should I follow?",linguistics basics;speech processing;text to speech generation
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: text to speech generation","loss function
speech processing
text to speech generation","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of text to speech generation, what concept path should I follow?",loss function;speech processing;text to speech generation
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: bayes theorem","probabilities
bayes theorem","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of bayes theorem, what concept path should I follow?",probabilities;bayes theorem
"domain_1: Natural Language Processing
concept_1: bayes theorem
concept_2: neural question answering","bayes theorem
question answering
neural question answering","In the domain of Natural Language Processing, I know about the concept of bayes theorem, now I want to learn about the concept of neural question answering, what concept path should I follow?",bayes theorem;question answering;neural question answering
"domain_1: Natural Language Processing
concept_1: machine learning resources
concept_2: linear regression","machine learning resources
linear regression","In the domain of Natural Language Processing, I know about the concept of machine learning resources, now I want to learn about the concept of linear regression, what concept path should I follow?",machine learning resources;linear regression
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: sentence boundary recognition","loss function
classification
sentence boundary recognition","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of sentence boundary recognition, what concept path should I follow?",loss function;classification;sentence boundary recognition
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: transition based dependency parsing","linguistics basics
shift-reduce parsing
transition based dependency parsing","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of transition based dependency parsing, what concept path should I follow?",linguistics basics;shift-reduce parsing;transition based dependency parsing
"domain_1: Natural Language Processing
concept_1: multilingual machine translation
concept_2: universal cross-language representation","multilingual machine translation
universal cross-language representation","In the domain of Natural Language Processing, I know about the concept of multilingual machine translation, now I want to learn about the concept of universal cross-language representation, what concept path should I follow?",multilingual machine translation;universal cross-language representation
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: neural language modeling","loss function
machine learning resources
semi-supervised learning
neural networks
neural language modeling","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of neural language modeling, what concept path should I follow?",loss function;machine learning resources;semi-supervised learning;neural networks;neural language modeling
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: relation extraction","loss function
machine learning resources
random walks and harmonic functions
relation extraction","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of relation extraction, what concept path should I follow?",loss function;machine learning resources;random walks and harmonic functions;relation extraction
"domain_1: Natural Language Processing
concept_1: n-gram models
concept_2: bag of words model","n-gram models
word distributions
vector representations
bag of words model","In the domain of Natural Language Processing, I know about the concept of n-gram models, now I want to learn about the concept of bag of words model, what concept path should I follow?",n-gram models;word distributions;vector representations;bag of words model
"domain_1: Natural Language Processing
concept_1: random walks and harmonic functions
concept_2: Unsupervised learning","random walks and harmonic functions
Unsupervised learning","In the domain of Natural Language Processing, I know about the concept of random walks and harmonic functions, now I want to learn about the concept of Unsupervised learning, what concept path should I follow?",random walks and harmonic functions;Unsupervised learning
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: tsne","optimization
machine learning resources
random walks and harmonic functions
Unsupervised learning
tsne","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of tsne, what concept path should I follow?",optimization;machine learning resources;random walks and harmonic functions;Unsupervised learning;tsne
"domain_1: Natural Language Processing
concept_1: optimization
concept_2: speech processing","optimization
machine learning resources
loss function
speech processing","In the domain of Natural Language Processing, I know about the concept of optimization, now I want to learn about the concept of speech processing, what concept path should I follow?",optimization;machine learning resources;loss function;speech processing
"domain_1: Natural Language Processing
concept_1: loss function
concept_2: neural question answering","loss function
machine learning resources
semi-supervised learning
neural networks
neural question answering","In the domain of Natural Language Processing, I know about the concept of loss function, now I want to learn about the concept of neural question answering, what concept path should I follow?",loss function;machine learning resources;semi-supervised learning;neural networks;neural question answering
"domain_1: Natural Language Processing
concept_1: natural language processing intro
concept_2: social network extraction","natural language processing intro
vector representations
structured learning
sentence representations
information extraction
social network extraction","In the domain of Natural Language Processing, I know about the concept of natural language processing intro, now I want to learn about the concept of social network extraction, what concept path should I follow?",natural language processing intro;vector representations;structured learning;sentence representations;information extraction;social network extraction
"domain_1: Natural Language Processing
concept_1: probabilities
concept_2: hidden markov models","probabilities
bayesian network
hidden markov models","In the domain of Natural Language Processing, I know about the concept of probabilities, now I want to learn about the concept of hidden markov models, what concept path should I follow?",probabilities;bayesian network;hidden markov models
"domain_1: Natural Language Processing
concept_1: linguistics basics
concept_2: lexicography","linguistics basics
lexicography","In the domain of Natural Language Processing, I know about the concept of linguistics basics, now I want to learn about the concept of lexicography, what concept path should I follow?",linguistics basics;lexicography
